Player_ID,Team_ID,Shirt_No,Name,Experience,Season,Team_abv
5,7,2,Shai Gilgeous-Alexander,6,2024-2025,OKC
8,7,8,Jalen Williams,2,2024-2025,OKC
29,7,9,Alex Caruso,7,2024-2025,OKC
34,7,15,Branden Carlson,R,2024-2025,OKC
45,7,7,Chet Holmgren,1,2024-2025,OKC
54,7,13,Ousmane Dieng,2,2024-2025,OKC
73,7,15,Alex Reese,R,2024-2025,OKC
75,7,14,Adam Flagler,1,2024-2025,OKC
87,7,17,Malevy Leons,R,2024-2025,OKC
92,7,25,Ajay Mitchell,R,2024-2025,OKC
111,7,21,Aaron Wiggins,3,2024-2025,OKC
131,7,34,Kenrich Williams,6,2024-2025,OKC
135,7,6,Jaylin Williams,2,2024-2025,OKC
143,7,55,Isaiah Hartenstein,6,2024-2025,OKC
150,7,5,Luguentz Dort,5,2024-2025,OKC
164,7,88,Alex Ducas,R,2024-2025,OKC
182,7,3,Dillon Jones,R,2024-2025,OKC
191,7,22,Cason Wallace,1,2024-2025,OKC
200,7,11,Isaiah Joe,4,2024-2025,OKC
